x,y,z
2.8761749916646232e-06,4.823068121174366e-14,0.0
-0.001400096627890621,-3.4817573944865875e-08,0.0
-0.009782827321691374,4.945162898232182e-06,0.0
-0.019501887090390704,2.0086087532829296e-05,0.0
-0.04014187205019373,9.338860876361555e-05,0.0
-0.057890687372602445,0.0002151819631723032,0.0
-0.07883018898664955,0.00045305350042637376,0.0
-0.11629657622977012,0.0012311460018714973,0.0
-0.14502603641613265,0.0022420461957068567,0.0
-0.17630762094546432,0.0038353528671820386,0.0
-0.22747738054998423,0.007680891135179349,0.0
-0.2642138181175918,0.011490536580513543,0.0
-0.3029302014595074,0.016548801978973997,0.0
-0.3645271596998855,0.02702828658341246,0.0
-0.4077965014265781,0.03636627641249998,0.0
-0.45268033258314266,0.04797752824563302,0.0
-0.5226347957606382,0.07052355733352028,0.0
-0.570656202033265,0.08959852496550937,0.0
-0.6195142890119016,0.11198606853549051,0.0
-0.6940005972530556,0.15115673183197187,0.0
-0.7442460377194717,0.18054572876471942,0.0
-0.7949047943852531,0.2122031374172112,0.0
-0.846094662269458,0.24588388407699283,0.0
-0.9240930806318547,0.2997210747198843,0.0
-0.976975656823447,0.3375398909008792,0.0
-1.0305499294660219,0.3766977981686936,0.0
-1.1119751931944934,0.43757008588825075,0.0
-1.1666683079751736,0.479278058900564,0.0
-1.2485299917288812,0.5428046573345461,0.0
-1.3023851594175986,0.5851744413140167,0.0
-1.3551217105970803,0.6268698228029544,0.0
-1.4062628110247837,0.6671170334676536,0.0
-1.4790400440263904,0.7226819703060561,0.0
-1.5244572563551344,0.7548994952167567,0.0
-1.5878653429079737,0.7930869655269688,0.0
-1.6275022558241534,0.8100890277912203,0.0
-1.6656161504779514,0.8188313624316235,0.0
-1.721631937910924,0.8137449382190791,0.0
-1.7596999741740782,0.7968357095159696,0.0
-1.8209206019765944,0.7507014525420058,0.0
-1.8632158944173907,0.7309055947662448,0.0
-1.9032077128811906,0.7221901276708237,0.0
-1.9630810342684566,0.7151796014945966,0.0
-2.002882277682871,0.7130357339216129,0.0
-2.0627951200488805,0.7118324349318288,0.0
-2.093915788268172,0.7069257107452092,0.0
-2.1200250435185377,0.6990591650472975,0.0
-2.1495389870274835,0.6813036531597747,0.0
-2.1634015017344104,0.6655661186207372,0.0
-2.1765220122296993,0.6360224949038848,0.0
-2.179040474768737,0.6245129589191576,0.0
-2.1817086312309732,0.5845947269964149,0.0
-2.1796166015853946,0.5530190936756504,0.0
-2.1810849883347347,0.5090130440140053,0.0
-2.189834917855138,0.48720535267677767,0.0
-2.203333276594899,0.469475178652847,0.0
-2.2323372649027884,0.4498349555227163,0.0
-2.2576518332943474,0.44076694606921396,0.0
-2.2949583565679172,0.4244708983435158,0.0
-2.3131692978593295,0.4061150700743597,0.0
-2.3269912975882363,0.38246919519223255,0.0
-2.338072256520404,0.35458904269708114,0.0
-2.3667863720751137,0.31920432047056624,0.0
-2.38626180801538,0.2950508908627519,0.0
-2.4127766841023255,0.2531037144307223,0.0
-2.430933426620221,0.22409264235066628,0.0
-2.458386743256609,0.1789585908986663,0.0
-2.4766921128759627,0.14738031366476825,0.0
-2.494905482428402,0.11474831580152153,0.0
-2.5218951189811794,0.0638939910064216,0.0
-2.539543952719763,0.028895289421313808,0.0
-2.5568055578424285,-0.006861436482556882,0.0
-2.581765697474637,-0.06159810682205885,0.0
-2.5976542102453277,-0.09859520962734591,0.0
-2.620101368463437,-0.15440258374227683,0.0
-2.6340421090437403,-0.19155995169307444,0.0
-2.647004534566974,-0.228378941137498,0.0
-2.664731590213417,-0.28307515052431004,0.0
-2.6750463862813687,-0.3184194855614124,0.0
-2.688130288481239,-0.36902175385432956,0.0
-2.6952395737948827,-0.4010446497327411,0.0
-2.7010415546623676,-0.431633008670707,0.0
-2.7070921845735145,-0.47375700924741726,0.0
-2.7270219679148635,-0.4880399484065535,0.0
-2.7227967434374487,-0.48871378059154397,0.0
-2.722859158960976,-0.48868774165419115,0.0
-2.72290163143142,-0.4886700233622774,0.0
-2.722930045271088,-0.4886581701790358,0.0
-2.722956048428148,-0.4886473226718672,0.0
-2.7229655867175953,-0.48864334361483736,0.0
-2.722972532442099,-0.4886404459973397,0.0
-2.7229792951578435,-0.48863762453197107,0.0
-2.722982108673803,-0.4886364505580681,0.0
-2.722983953240671,-0.4886356807606158,0.0
-2.7229848673787402,-0.48863529917835036,0.0
-2.7229857956194254,-0.4886349115861915,0.0
-2.7229857956194254,-0.4886349115861915,0.0
-2.722986709676656,-0.48863452958708864,0.0
-2.722986709676656,-0.48863452958708864,0.0
-2.722986709676656,-0.48863452958708864,0.0
-2.722986709676656,-0.48863452958708864,0.0
-2.722986709676656,-0.48863452958708864,0.0
-2.722986709676656,-0.48863452958708864,0.0
-2.722986709676656,-0.48863452958708864,0.0
-2.722986709676656,-0.48863452958708864,0.0
-2.722986709676656,-0.48863452958708864,0.0
-2.722986709676656,-0.48863452958708864,0.0
