x,y,z
-5.6160557081350985e-11,1.596550547618434e-14,0.0
-2.4162995553769413e-08,1.1107377329533758e-13,0.0
-1.7002877338394306e-07,2.189352209517491e-13,0.0
-1.1365327061111124e-06,2.8358760848645983e-13,0.0
-2.6803726422010016e-06,2.981042922074566e-13,0.0
-6.857080856298306e-06,3.483778336520244e-13,0.0
-1.0999279521719894e-05,2.938661989831643e-13,0.0
-1.9061663167138777e-05,2.1116801528901918e-13,0.0
-2.5451356998282855e-05,1.8171161488289132e-13,0.0
-3.614402614807364e-05,1.6518033617441384e-13,0.0
-4.376881731290388e-05,1.6454497239577115e-13,0.0
-5.5546555250296736e-05,1.708288064609284e-13,0.0
-6.339903991036663e-05,1.7739775050999584e-13,0.0
-7.480873421416822e-05,1.8884547756494335e-13,0.0
-8.196449902000803e-05,1.9694359001506738e-13,0.0
-9.169137035060934e-05,2.0930354163213137e-13,0.0
-9.73239557504874e-05,2.1844673258108454e-13,0.0
-0.00010213905354251454,2.2812094257968557e-13,0.0
-0.00010759232449462564,2.431164314591482e-13,0.0
-0.00010990146579679777,2.5325172621397317e-13,0.0
-0.00011114484177066808,2.6857456028558337e-13,0.0
-0.00011037108022412917,2.7889081047507236e-13,0.0
-0.00010661725493365821,2.9460457990648935e-13,0.0
-0.00010228754954755857,3.0898208284114684e-13,0.0
-9.279499045526329e-05,2.4433733348992886e-12,0.0
-8.374709149717709e-05,5.2189036474120495e-12,0.0
-6.437853835413861e-05,4.140038772015974e-12,0.0
-4.834614486728695e-05,1.4837792568505074e-12,0.0
-2.3513205277791984e-05,-6.694406948859122e-13,0.0
-8.887588629172297e-06,-6.809731141860892e-13,0.0
6.48799685379031e-06,-2.500409848597452e-13,0.0
1.0614212016105893e-05,-2.2562825464920945e-13,0.0
5.7249897351264e-06,-4.778408510043905e-13,0.0
-5.2187575609930006e-06,-6.307095574571874e-13,0.0
-3.244007834613265e-05,-7.273078434390432e-13,0.0
-5.685032900106681e-05,-7.610199010568242e-13,0.0
-0.00010072112929257971,-8.360857004681621e-13,0.0
-0.000133441761137273,-8.955801300581041e-13,0.0
-0.0001678999208265029,-9.501818556730875e-13,0.0
-0.00022121182766822098,-1.0169045398024383e-12,0.0
-0.0002570127107373651,-1.0546752578138566e-12,0.0
-0.00031022309407149505,-1.1063588017017971e-12,0.0
-0.00034513032282839913,-1.137415770340988e-12,0.0
-0.0003965695829102621,-1.1768204505859398e-12,0.0
-0.00043031607045075626,-1.1974833748687786e-12,0.0
-0.000480269572642463,-1.2192927302561228e-12,0.0
-0.0005131768084944214,-1.2271309184004618e-12,0.0
-0.0005618988154047834,-1.227460622819483e-12,0.0
-0.0005938485489965331,-1.2192805437930422e-12,0.0
-0.0006407010005064517,-1.193590100751131e-12,0.0
-0.0006710448707172158,-1.1674371204063743e-12,0.0
-0.0007149747914641909,-1.1151799344719586e-12,0.0
-0.000743127995945712,-1.0722578095071592e-12,0.0
-0.0007836929524393598,-9.971172691581265e-13,0.0
-0.0008097523990646377,-9.407572896585847e-13,0.0
-0.000847748436807071,-8.484301566166845e-13,0.0
-0.0008726500649352381,-7.825919673223249e-13,0.0
-0.0008974834051265515,-7.140055489770007e-13,0.0
-0.0009351512007450395,-6.07104321770646e-13,0.0
-0.0009609014421455708,-5.338074500453449e-13,0.0
-0.0010010657164214408,-4.21770749550989e-13,0.0
-0.0010291795158943013,-3.461555231058001e-13,0.0
-0.0010738495345258084,-2.320687922111985e-13,0.0
-0.0011055695649183602,-1.5597423279388168e-13,0.0
-0.001156531544462615,-4.250043451701042e-14,0.0
-0.001193051158794731,3.2238399053933765e-14,0.0
-0.0012521889274530135,1.4207805660526514e-13,0.0
-0.001294862995277324,2.1321804570572874e-13,0.0
-0.0013643738861621236,3.1574571942302527e-13,0.0
-0.0014147559196034597,3.8067293277780684e-13,0.0
-0.0014970164101435301,4.718402464091762e-13,0.0
-0.0015566485908680714,5.278532348742001e-13,0.0
-0.0016537643416195463,6.037322129987804e-13,0.0
-0.0017238280009681194,6.483630751612628e-13,0.0
-0.0018371133475246053,7.055567947553938e-13,0.0
-0.001918127047824211,7.367599157649391e-13,0.0
-0.002003489944063902,7.621191234347237e-13,0.0
-0.0021394758821332398,7.885914106174184e-13,0.0
-0.0022352137158848117,7.981561717787215e-13,0.0
-0.0023859574286892575,8.000177054521477e-13,0.0
-0.00249087271020179,7.927823287952243e-13,0.0
-0.0026542196097532264,7.688798938824018e-13,0.0
-0.0027666843030690453,7.440252895927292e-13,0.0
-0.0029399757004497005,6.930147545495383e-13,0.0
-0.0030581063725578254,6.496833654974456e-13,0.0
-0.003238394530720361,5.704589637835186e-13,0.0
-0.00336016364206737,5.08050796860781e-13,0.0
